customer_id,first_name,last_name,email,phone,city,state,signup_date,customer_segment
CUST1001,Cris,Brown,cris.brown95@outlook.com,(460) 428-3286,Austin,TX,2022-07-29,Wholesale
CUST1002,Daniel,Lewis,daniel.lewis12@proton.me,(642) 232-1488,Salt Lake City,UT,2022-07-11,Retail
CUST1003,Ethan,Taylor,ethan.taylor4@proton.me,(413) 933-9928,Sacramento,CA,2024-05-09,Retail
CUST1004,Mia,Jackson,mia.jackson1@yahoo.com,(924) 632-6574,Miami,FL,2023-07-24,Retail
CUST1005,Levi,Harris,levi.harris14@gmail.com,(599) 299-6881,Chicago,IL,2023-12-06,Online
CUST1006,Mason,Sanchez,mason.sanchez94@hotmail.com,(759) 327-7201,Dallas,TX,2022-06-11,Online
CUST1007,Logan,Clark,logan.clark47@proton.me,(406) 921-2139,Sacramento,CA,2022-04-04,Wholesale
CUST1008,Ethan,Harris,ethan.harris11@yahoo.com,(313) 589-5554,Tampa,FL,07/17/2024,Wholesale
CUST1009,Ella,Lopez ,ella.lopez48@outlook.com,(424) 886-5374,Denver,CO,2022-05-27,Online
CUST1010,Cris,Garcia,cris.garcia94@yahoo.com,377-673-7216,Salt Lake City,UT,2023-07-07,Wholesale
CUST1011,CAMILA,Moore,camila.moore88@outlook.com,(267) 434-1525,Portland,OR,2023-10-09,Corporate
CUST1012,Mason,Williams,mason.williams73@icloud.com,(532) 417-9179,Seattle,WA,2024-03-21,wholesale
CUST1013,mia,Jones,mia.jones18@yahoo.com,(972) 774-9830,Miami,FL,2023-06-23,Wholesale
CUST1014,Evelyn,Wilson,EVELYN.WILSON52@OUTLOOK.COM,(434) 341-9348,San Diego,CA,2024-10-07,Retail
CUST1015,Samuel,Johnson,samuel.johnson20@icloud.com,(373) 896-7916,San Antonio,TX,2022-05-11,Corporate
CUST1016,Sophia,Martin,sophia.martin68@outlook.com,(776)211-2876,Charlotte,NC,01/04/2025,Retail
CUST1017,Samuel,Lee,samuel.lee15@outlook.com,(655) 361-8433, Chicago,IL,2022-01-07,Wholesale
CUST1018,Scarlett,White ,scarlett.white65@yahoo.com,(729) 308-5889,Miami,FL,2024-11-05,Online
CUST1019,Levi,Jones,levi.jones98@yahoo.com,(762) 997-9689,Madison,WI,Jan 02 2022,Online
CUST1020,Ava,Thomas,ava.thomas15@outlook.com,524-445-1949,Austin,TX,2023-05-09,Online
CUST1021,Oliver,Williams,oliver.williams9@proton.me,(338) 331-8787,Nashville,TN,2025-01-30,Retail
CUST1022,MASON,Taylor,mason.taylor55@yahoo.com,(762) 973-4295,Sacramento,CA,2023-10-01,Corporate
CUST1023,Sofia,Lee,sofia.lee57@proton.me,(672) 323-5061,Madison,WI,2023-04-06,Retail
CUST1024,Ava,Smith,ava.smith71@yahoo.com,(812) 425-1117,San Diego,CA,05/26/2022,wholesale
CUST1025,Cris,Johnson,cris.johnson9@gmail.com,(548) 272-9423,Portland,OR,2023-05-03,Retail
CUST1026,sofia,Thomas,sofia.thomas70@yahoo.com,(950) 784-8744,Seattle,WA,2023-05-13,Corporate
CUST1027,Grace,Wilson ,grace.wilson13@gmail.com,(884) 641-6804,Seattle,WA,2024-05-17,Corporate
CUST1028,Mia,Ramirez,MIA.RAMIREZ87@ICLOUD.COM,(871) 300-1993,Dallas,TX,2024-04-04,Wholesale
CUST1029,Ava,Sanchez,ava.sanchez32@yahoo.com,(404) 749-8350,San Antonio,TX,2022-10-15,Corporate
CUST1030,Lucas,Rodriguez,lucas.rodriguez32@gmail.com,663-763-2604,Charlotte,NC,2022-04-14,Wholesale
CUST1031,Harper,Clark,harper.clark12@yahoo.com,(380) 616-8956,Austin,TX,2024-09-12,Retail
CUST1032,Nora,Gonzalez,nora.gonzalez22@hotmail.com,(212)599-5345,Dallas,TX,07/20/2024,Retail
CUST1033,ISABELLA,Thompson,isabella.thompson85@icloud.com,(708) 358-4111,Salt Lake City,UT,2023-08-31,Retail
CUST1034,Noah,Jackson,noah.jackson8@icloud.com,(531) 258-1821, Salt Lake City,UT,2024-09-03,Online
CUST1035,Hannah,Ramirez,hannah.ramirez21@gmail.com,(730) 282-4044,Boulder,CO,2022-05-21,Online
CUST1036,Oliver,Perez ,oliver.perez52@gmail.com,(793) 452-1651,Portland,OR,2022-06-17,corporate
CUST1037,Sofia,Jackson,sofia.jackson67@outlook.com,(477) 409-6147,San Diego,CA,2023-05-04,Retail
CUST1038,Sophia,Jones,sophia.jones59@outlook.com,(979) 274-1152,Tampa,FL,Jul 27 2024,Online
CUST1039,evelyn,Brown,evelyn.brown69@yahoo.com,(728) 471-3170,Houston,TX,2023-12-16,Retail
CUST1040,Scarlett,Davis,scarlett.davis37@yahoo.com,658-756-5956,Madison,WI,12/19/2024,Retail
CUST1041,Sofia,Clark,sofia.clark39@icloud.com,(316) 337-5333,Salt Lake City,UT,2022-08-25,Retail
CUST1042,Daniel,Moore,DANIEL.MOORE35@OUTLOOK.COM,(829) 415-6617,Phoenix,AZ,2023-02-21,Wholesale
CUST1043,Cris,Ramirez,cris.ramirez65@hotmail.com,(467) 252-2512,Miami,FL,2024-05-17,Retail
CUST1044,NOAH,Smith,noah.smith99@yahoo.com,(862) 468-3647,Chicago,IL,2024-06-23,Online
CUST1045,Camila,Wilson ,camila.wilson2@gmail.com,(287) 907-3442,Salt Lake City,UT,2025-01-22,Retail
CUST1046,Ella,Lopez,ella.lopez71@yahoo.com,(650) 330-1685,San Diego,CA,2023-09-24,Retail
CUST1047,Scarlett,Robinson,scarlett.robinson46@yahoo.com,(908) 455-2684,Dallas,TX,2023-12-26,Online
CUST1048,Scarlett,Ramirez,scarlett.ramirez80@icloud.com,(368)442-3662,Raleigh,NC,12/29/2022,corporate
CUST1049,Liam,Garcia,liam.garcia53@icloud.com,(962) 454-5371,Chicago,IL,2022-11-23,Wholesale
CUST1050,Elijah,Gonzalez,elijah.gonzalez61@yahoo.com,414-671-6728,Dallas,TX,2023-09-18,Retail
CUST1051,Ethan,Smith,ethan.smith52@outlook.com,(495) 271-5573, Seattle,WA,2023-12-21,Wholesale
CUST1052,amelia,Gonzalez,amelia.gonzalez43@gmail.com,(328) 467-3925,Salt Lake City,UT,2023-06-28,Retail
CUST1053,Elijah,Martin,elijah.martin45@icloud.com,(531) 646-9379,Raleigh,NC,2022-08-25,Corporate
CUST1054,Scarlett,Jackson ,scarlett.jackson33@gmail.com,(935) 646-1027,Seattle,WA,2024-11-30,Online
CUST1055,SOFIA,White,sofia.white47@hotmail.com,(281) 880-6409,Seattle,WA,2023-10-05,Wholesale
CUST1056,Nora,Brown,NORA.BROWN65@OUTLOOK.COM,(892) 618-6344,Tampa,FL,04/04/2024,Wholesale
CUST1057,Logan,Moore,logan.moore25@hotmail.com,(890) 588-3851,Phoenix,AZ,Sep 09 2023,Corporate
CUST1058,Harper,Clark,harper.clark39@outlook.com,(425) 640-6279,Austin,TX,2024-08-10,Corporate
CUST1059,Mia,Perez,mia.perez66@hotmail.com,(963) 373-2389,Seattle,WA,2023-08-05,Online
CUST1060,Sofia,Lee,sofia.lee43@gmail.com,979-440-6085,Sacramento,CA,2023-04-06,retail
CUST1061,Mateo,Smith,mateo.smith32@hotmail.com,(835) 986-2193,Dallas,TX,2024-07-21,Corporate
CUST1062,Scarlett,Lee,scarlett.lee25@icloud.com,(923) 593-9099,San Diego,CA,2024-03-29,Retail
CUST1063,Mateo,Lee ,mateo.lee97@gmail.com,(645) 424-3881,Austin,TX,2024-11-26,Corporate
CUST1064,Noah,Moore,noah.moore16@hotmail.com,(346)675-9702,Portland,OR,02/18/2025,Online
CUST1065,ava,Harris,ava.harris79@icloud.com,(726) 636-9976,Charlotte,NC,2024-07-02,Retail
